,flight attendant,waiter,writer,teacher,nurse,politician,basketball player,chef,psychologist,receptionist,cashier,office worker,journalist,CEO,fitness instructor,baker,police officer,artist,scientist,mechanic,singer,software engineer,judge,professional athlete,surgeon,doctor
Find,0.5008784357422083,0.5778399991071358,0.4109239800029127,1.0,0.5779700451852231,0.0495517405265218,0.0945693126389836,0.6270861851032782,0.8394690330135681,0.3750138160663482,1.0,1.0,0.8098623598467805,0.6213300758838508,1.0,1.0,0.5213772630834196,0.9232329116343784,0.6438393825260021,0.439526377463877,0.9321212975443744,0.4399057468811885,0.4744770094684425,0.1011341512204625,0.6270861851032782,0.6438393825260021
Fcov,0.125,0.20833333333333334,0.3333333333333333,0.25,0.125,0.125,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.16666666666666666,0.125,0.5,0.4166666666666667,0.16666666666666666,0.20833333333333334,0.4583333333333333,0.3333333333333333,0.375,0.375,0.16666666666666666,0.3333333333333333,0.25,0.625,0.16666666666666666,0.16666666666666666,0.375
Fcov_marginal,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.7777777777777778
max_dev,0.7464128035320089,0.5964912280701755,0.4316666666666667,0.5037878787878788,0.8375279642058165,0.8662280701754386,0.9583333333333334,0.5833333333333334,0.41018518518518515,0.7649999999999999,0.5833333333333334,0.23981481481481484,0.6249999999999999,0.8596491228070177,0.7445402298850575,0.3484042553191489,0.5062785388127854,0.3013990267639903,0.4156976744186046,0.5850000000000001,0.39196165191740406,0.32017543859649117,0.40903755868544606,0.6425438596491229,0.44812925170068024,0.44340796019900497
jsd_dev,0.7585209019065605,0.6899114173434464,0.6026571826294009,0.6676979032234681,0.7982880332160643,0.804758769084106,0.8738061515195756,0.7898625624632286,0.6747614337400646,0.7485456758595969,0.7690857466615264,0.4554960326477005,0.5695901240711944,0.7851245806486679,0.7266902545823012,0.5073681200031235,0.600293469283584,0.5277740660828438,0.536443717869766,0.7020486964310063,0.6123149777540264,0.619973918749262,0.4138958609303444,0.726009969100235,0.7241307844941375,0.5138117519078549
