image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
cashier_40 years old_39.png,28,Man,middle eastern,neutral,1.0,0.04800473,99.951996,4.97405,11.209963,3.785564,22.482107,30.958406,26.589914,0.10717967,0.00010269293,0.067237645,0.41424286,5.4562964,0.0012627804,93.95368
cashier_40 years old_22.png,40,Man,latino hispanic,neutral,1.0,0.046468366,99.95353,1.7507039,4.9040937,0.8941397,32.616634,27.077623,32.7568,2.930875,6.514631e-05,0.09444865,0.5938942,3.6230311,0.00028589249,92.7574
cashier_40 years old_34.png,34,Man,white,angry,1.0,0.010318986,99.98968,0.000758379,0.0127359545,0.00024467736,92.327385,3.4585216,4.200349,35.479355,0.00045586875,0.8531269,2.2517378,26.614973,0.010378979,34.789978
cashier_40 years old_28.png,32,Man,middle eastern,neutral,1.0,0.0008347384,99.99917,0.042345274,4.77737,0.14173973,8.145572,76.787384,10.105582,0.133452,7.813559e-07,0.00091372896,12.092378,3.355076,0.0010963179,84.41708
cashier_40 years old_24.png,33,Man,white,neutral,1.0,0.0091958195,99.99081,1.0520604,5.70237,1.1898962,33.788837,27.379942,30.886894,3.8499599,1.5135072e-06,0.026687048,0.05163448,3.2100632,0.0035311983,92.85812
cashier_40 years old_4.png,34,Man,white,neutral,1.0,0.10818441,99.891815,0.03912624,0.14425895,0.014224085,78.06736,12.344907,9.390127,0.002475804,1.021701e-08,0.0008399088,0.19573085,0.09788894,0.0002510645,99.70282
cashier_40 years old_49.png,36,Man,middle eastern,neutral,1.0,0.16031106,99.83969,0.041002788,1.855191,0.040203165,31.56077,53.46151,13.041325,0.16319342,1.9365256e-08,0.0030299262,0.026397703,1.8746064,1.6044519e-06,97.93278
cashier_40 years old_11.png,32,Man,white,neutral,1.0,0.007470512,99.99252,0.005693948,0.043952074,0.0031244983,84.60164,10.293793,5.0517993,10.364957,0.10598542,0.8254642,4.7296157,13.987045,0.013659266,69.973274
cashier_40 years old_16.png,32,Man,white,neutral,1.0,0.05222375,99.94778,2.5999713,3.396666,0.654291,45.174564,23.182457,24.992054,0.0001390287,9.073723e-10,0.0009984239,0.06356666,0.014802141,2.2533413e-05,99.92047
cashier_40 years old_29.png,39,Man,latino hispanic,happy,1.0,0.14965521,99.85034,3.1669807,8.621664,2.7523022,29.7483,25.914108,29.796642,0.02943809,3.9275883e-06,0.00055019517,88.801254,0.050930463,6.1215345e-05,11.117763
cashier_40 years old_25.png,35,Man,white,neutral,1.0,0.026141582,99.97386,0.3424401,1.7721562,0.21974996,54.606693,17.183624,25.875338,0.20281494,2.9541662e-08,0.00038045613,33.6565,0.2814954,4.7370137e-05,65.85876
cashier_40 years old_27.png,42,Man,middle eastern,neutral,1.0,0.00650433,99.99349,0.742198,9.782116,0.6224603,16.43431,47.585278,24.833632,7.453263,3.80119e-05,0.038039595,0.10059789,40.996487,4.579884e-05,51.411526
cashier_40 years old_44.png,31,Man,white,neutral,1.0,0.52072805,99.47928,0.20323338,0.2125005,0.027457848,81.37697,10.481354,7.698489,0.0020788063,2.3926807e-08,0.00033880473,17.4712,0.09386868,0.0007325641,82.431786
cashier_40 years old_0.png,39,Man,white,happy,1.0,0.10983575,99.89016,0.00028036095,0.0003348727,4.072294e-06,99.2382,0.28760788,0.4735692,42.348843,7.702246e-05,0.2362059,43.097744,4.5159802,0.0010948221,9.800055
cashier_40 years old_48.png,28,Man,white,sad,1.0,0.007926046,99.99207,0.07687236,1.0536559,0.12380522,61.795086,18.846533,18.104053,15.700795,0.001946815,4.0163407,0.009766778,61.812103,0.0007398528,18.45831
cashier_40 years old_37.png,45,Man,latino hispanic,sad,1.0,0.14292702,99.85707,3.9683561,3.250894,1.4254844,37.639053,13.436495,40.279713,1.1468159,0.039542675,0.35741368,0.39118814,64.93509,0.0015632856,33.128395
cashier_40 years old_8.png,39,Man,latino hispanic,neutral,1.0,0.0090887295,99.99091,5.683443,10.908196,2.2861307,17.991163,28.481913,34.649155,0.019147174,1.5897954e-10,5.6023837e-05,3.8383703,0.05240233,6.3340085e-06,96.09001
cashier_40 years old_23.png,30,Man,white,neutral,1.0,0.06110794,99.938896,0.10746475,0.5424493,0.08705991,63.0014,21.134756,15.126869,0.19823676,5.479976e-06,0.33358172,20.614145,0.6913519,0.26762754,77.89505
cashier_40 years old_3.png,29,Man,latino hispanic,neutral,1.0,0.04679963,99.9532,13.63505,15.22353,6.556181,10.283138,6.575185,47.726917,0.017830556,1.1770936e-07,0.0051239925,0.0012877617,0.48088747,4.4086726e-05,99.49483
cashier_40 years old_12.png,32,Man,middle eastern,neutral,1.0,0.011987579,99.98801,1.1771181,4.5673947,0.6090809,29.215828,34.293655,30.136925,3.5595973,7.339501e-07,0.038046036,0.048942458,6.319458,1.845961e-05,90.03394
cashier_40 years old_45.png,45,Man,latino hispanic,neutral,1.0,0.00094348687,99.99906,2.09063,8.090181,1.7157629,23.476118,21.46717,43.160137,0.2373169,8.918192e-09,1.0865775e-05,5.522918,0.44615942,5.7243955e-07,93.793594
