image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
cashier_40 years old_49.png,44,Man,middle eastern,angry,1.0,0.0061942176,99.993805,0.09078574,4.5920453,0.15708046,23.34973,59.80302,12.0073395,59.726215,1.6446077e-06,0.024213351,2.527268,1.695611,0.00022954623,36.026463
cashier_40 years old_11.png,40,Man,white,neutral,1.0,0.0016953204,99.99831,4.3854127,7.840354,5.6145353,29.013569,27.892986,25.253143,12.7546835,6.9261846e-06,0.52271897,0.3829268,7.8816056,0.0007655739,78.45729
cashier_40 years old_16.png,36,Man,white,neutral,1.0,0.007362819,99.99263,0.26401734,0.52782923,0.06961167,69.38546,13.40124,16.35184,29.448065,0.0015753448,0.48848173,2.0534413,8.925672,0.012093047,59.070675
cashier_40 years old_29.png,48,Man,white,neutral,1.0,0.0022266412,99.99777,0.042569485,1.4617229,0.0673147,56.02648,32.131622,10.2702875,17.376991,1.9153173,26.454844,12.5321455,3.541627,1.506674,36.672405
cashier_40 years old_25.png,40,Man,white,angry,1.0,0.011512511,99.98849,0.02452697,0.16375533,0.011272054,76.90122,15.641113,7.2581005,53.96785,0.005268712,0.41530514,0.002678153,18.574923,0.00037569692,27.0336
cashier_40 years old_27.png,48,Man,white,neutral,1.0,0.0013448353,99.99865,0.0018463383,0.03382066,0.0009931877,86.87364,8.896924,4.192774,20.407278,6.208532e-06,0.2663313,0.17555942,14.448955,0.0009867921,64.70088
cashier_40 years old_44.png,39,Man,white,happy,1.0,0.0046066074,99.9954,0.89283615,4.1467643,4.6370554,35.24875,30.259428,24.815172,0.6141172,0.0010478697,0.06925415,58.913994,0.65859395,0.003085152,39.739906
cashier_40 years old_0.png,50,Man,white,happy,1.0,0.023933018,99.97607,4.7679323e-06,0.00031830108,5.983921e-06,98.4848,0.7702212,0.74464715,0.00026988052,5.7124872e-08,0.0004016279,98.233475,0.008212536,5.062265e-05,1.7575923
cashier_40 years old_48.png,35,Man,white,neutral,1.0,0.08400616,99.91599,0.00095542223,0.0028291116,0.000121029596,97.73202,1.0226024,1.2414808,0.08483765,2.5208798e-21,1.9572144e-09,0.0015679894,0.0014879258,9.339357e-10,99.91211
cashier_40 years old_37.png,43,Man,white,neutral,1.0,0.081972204,99.91802,0.0016883834,0.016538167,0.0006805206,95.72873,2.7670147,1.4853538,0.06852441,2.5046042e-12,0.000239069,0.0005300084,0.05619288,1.640962e-05,99.8745
cashier_40 years old_8.png,42,Man,middle eastern,neutral,1.0,0.0019897171,99.99801,0.39541066,5.0852637,0.65493304,29.890785,43.239788,20.733824,3.293512,0.020760305,0.5417633,15.442769,3.6374733,0.14583024,76.91789
cashier_40 years old_23.png,32,Man,middle eastern,neutral,1.0,0.038289282,99.96171,0.26197702,12.435839,0.80634964,8.36536,66.27846,11.852017,19.612274,0.0048779515,0.56122345,0.21078497,16.566313,0.01088292,63.033646
cashier_40 years old_3.png,46,Man,white,happy,1.0,0.09786969,99.90213,0.026401987,0.2335156,0.018790858,81.34258,12.232631,6.146078,0.38775066,5.477259e-09,0.0003650391,79.77193,0.10083745,0.00021202734,19.73891
cashier_40 years old_12.png,31,Man,middle eastern,neutral,1.0,0.057085305,99.94292,0.016271276,2.4412143,0.038445305,12.969123,76.60819,7.9267516,5.555138,0.0003143469,2.3127587,0.46147373,3.9114475,0.031994212,87.72688
cashier_40 years old_45.png,43,Man,white,neutral,1.0,0.000666081,99.99933,0.004626563,0.13423283,0.0038426798,71.54679,23.911804,4.3987117,0.4011909,1.7174418e-08,0.0013796436,4.1260285,0.06564469,0.0006663477,95.40509
